"","System_ID","system_lat","system_lon","county","swp_loop"
"1","CA0110001",37.53781479,-122.0200353,"Alameda","Yes"
"2","CA0110001",37.53781479,-122.0200353,"Alameda","Yes"
"3","CA3610002",34.24218937,-117.2287543,"San Bernardino","Yes"
"4","CA2810005",38.19719092,-122.2510774,"Napa","Yes"
"5","CA2810005",38.19719092,-122.2510774,"Napa","Yes"
"6","CA4210700",34.71392318,-120.5569903,"Santa Barbara","Yes"
"7","CA1510053",34.87787658,-118.0769454,"Kern","Yes"
"8","CA1510053",34.87787658,-118.0769454,"Kern","Yes"
"9","CA1910045",34.87636222,-118.0811573,"Los Angeles","Yes"
"10","CA1910045",34.87636222,-118.0811573,"Los Angeles","Yes"
"11","CA3610093",34.24047552,-117.1833513,"San Bernardino","Yes"
"12","CA4000222",35.17881018,-120.7282948,"San Luis Obispo","Yes"
"13","CA4000222",35.17881018,-120.7282948,"San Luis Obispo","Yes"
"14","CA4000716",35.19093822,-120.706976,"San Luis Obispo","Yes"
"15","CA4000716",35.19093822,-120.706976,"San Luis Obispo","Yes"
"16","CA1510031",35.33106838,-119.1172073,"Kern","Yes"
"17","CA1910012",33.87183168,-118.1468887,"Los Angeles","Yes"
"18","CA1910018",33.89290402,-118.1237533,"Los Angeles","Yes"
"19","CA1910156",34.07903486,-118.4002366,"Los Angeles","Yes"
"20","CA4400526",37.11431532,-121.9846683,"Santa Cruz","Yes"
"21","CA1510002",35.00477006,-117.6533572,"Kern","Yes"
"22","CA3310004",33.92360256,-117.2796786,"Riverside","Yes"
"23","CA5603301",34.25042882,-118.7009956,"Ventura","Yes"
"24","CA1009023",36.41858445,-120.1615579,"Fresno","Yes"
"25","CA1009179",36.4275519,-120.1020389,"Fresno","Yes"
"26","CA4300978",37.16693351,-121.9955426,"Santa Clara","Yes"
"27","CA1910179",34.18790773,-118.323463,"Los Angeles","Yes"
"28","CA5610040",34.18773559,-118.9313937,"Ventura","Yes"
"29","CA5610081",34.25078755,-119.0651602,"Ventura","Yes"
"30","CA3710001",32.60460615,-117.1169306,"San Diego","Yes"
"31","CA0410005",39.49786521,-121.5587425,"Butte","Yes"
"32","CA1910052",33.99292219,-118.3591205,"Los Angeles","Yes"
"33","CA1910139",34.10548135,-118.0900266,"Los Angeles","Yes"
"34","CA1910022",34.05669204,-117.8213049,"Los Angeles","Yes"
"35","CA4010830",35.3239232,-120.6989344,"San Luis Obispo","Yes"
"36","CA3310800",33.92909001,-117.5718712,"Riverside","Yes"
"37","CA4810800",38.32108935,-121.9752046,"Solano","Yes"
"38","CA0110003",37.67019835,-121.7566692,"Alameda","Yes"
"39","CA5610016",34.16955469,-118.8240385,"Ventura","Yes"
"40","CA1910243",34.61582762,-118.2974212,"Los Angeles","Yes"
"41","CA1910033",33.83896437,-118.2705726,"Los Angeles","Yes"
